NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_basis,ercot_zone,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Keo Substation,,,TX,30.8184194,-102.3659149,1,138.0,34.5,BP,transmission,IN SERVICE,OSM,16.143333333333334,3.5391666666666666,3.8283608328717738,0.0,0.0,81.42,AVAILABLE,"EB_5040, KEO_4000",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Rachal Substation,,,TX,26.8901417,-98.1638131,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,20.703333333333333,1.0208333333333321,14.871557865043371,0.0,0.0,81.4,AVAILABLE,RACHAL_L_A,1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Ocotillo Wind Substation,,,TX,32.1319887,-101.3938182,1,138.0,34.5,Duke Energy,transmission,IN SERVICE,OSM,15.985555555555557,3.696944444444444,3.679419489237096,0.0,0.0,81.2,AVAILABLE,"TNOCOTILO_X, TNOCOTILO_Y, TNOCOTILO_Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Martin Substation,,,TX,35.3820925,-101.5403726,1,115.0,115.0,,transmission,IN SERVICE,OSM,16.53333333333333,3.1491666666666696,4.450902530199166,0.0,0.0,81.16,AVAILABLE,MARTIN_EB,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,50-150,HIGH,station_limit
Divide Substation,,,TX,31.8695145,-100.7771803,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM,12.8,6.8825,5.576972358695636,0.0,0.0,81.07,AVAILABLE,"AUTO_DIVIDE, AVIATOR, DIVIDE_0014, DIVIDE_0015, DIVIDE_0028, DIVIDE_0353, DIVIDE_EPS1, DIVIDE_E_1, DIVIDE_E_12, T308",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Riggins Substation,,,TX,31.0543937,-102.8510042,1,138.0,34.5,NRG Energy,transmission,IN SERVICE,OSM,15.813333333333333,3.8691666666666684,3.654794795881159,0.0,0.0,80.91,AVAILABLE,"RIGGINS_0001, RIGGINS_0003, RIGGIN_UN1",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Hargrove Substation,,,TX,31.3083107,-100.938971,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,15.913333333333334,3.769166666666667,4.240829321410298,0.0,0.0,80.85,AVAILABLE,HARGRO_B101,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Nelson Sharpe Substation,,,TX,27.560471,-97.6688342,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,14.841111111111111,4.84138888888889,15.228409671108505,0.0,0.0,80.79,AVAILABLE,"N_SHARPE_V_A, N_SHARPE_V_B, N_SHARPE_V_C",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Shamrock Substation,,,TX,34.853864,-100.2096328,1,138.0,69.0,Southwestern Electric Power Company; Golden Spread Electric Cooperative,distribution,IN SERVICE,OSM,15.71,3.9725,3.5507343304891563,0.0,0.0,80.77,AVAILABLE,"EB_SR, SHAM_BESS1, SR_TL, SR_U1, SR_U2",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Hovey Substation,,,TX,30.9526276,-103.3614053,1,138.0,34.5,First Solar,transmission,IN SERVICE,OSM,15.693333333333335,3.989166666666666,3.645486935925022,0.0,0.0,80.7,AVAILABLE,"EB_LOAD, LINE_EB, UNIT",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Rusthill Substation,,,TX,31.4517257,-100.4248235,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,15.610833333333332,4.071666666666669,3.6023766355341613,0.0,0.0,80.57,AVAILABLE,"CONCHO1KV_BS, CONCHO2KV_BS, HIGHLA_KV_BS, SACK_KV_BUS",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Bluffs Substation,,,TX,31.4355093,-100.5072218,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,15.743333333333334,3.939166666666667,4.211143945928866,0.0,0.0,80.56,AVAILABLE,BLUFFS_L_A,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Cryo Substation,,,TX,31.0468014,-103.72069,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,15.693333333333333,3.9891666666666676,4.209445727567151,0.0,0.0,80.48,AVAILABLE,CRYO_LD01,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
