ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
MOORE_V_A,Moore County Substation,alias,1.0,35.9667759,-101.8630795
MORRIS_L_A,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MORRIS_L_B,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MORRIS_L_C,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MORRIS_L_D,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MORRIS_V_A,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MORRIS_V_B,Morris Substation,ercot_reference_exact,1.0,27.7843998,-97.4055884
MOUNTARY1,Mountary Substation,ercot_reference_exact,1.0,32.075523,-98.4318283
MOZART_WIND1,Mozart Substation,ercot_reference_exact,1.0,32.9942365,-100.5316381
MOZ_WOFG,Mozart Substation,ercot_reference_exact,1.0,32.9942365,-100.5316381
MRKM_SLR,Bosque Substation,ercot_reference_exact,1.0,31.6858773,-97.3750445
MRKM_SLR0020,Bosque Substation,ercot_reference_exact,1.0,31.6858773,-97.3750445
MRKM_SLR3840,Bosque Substation,ercot_reference_exact,1.0,31.6858773,-97.3750445
MRKM_SLR8101,Bosque Substation,ercot_reference_exact,1.0,31.6858773,-97.3750445
MRKM_SLR_RN,Bosque Substation,ercot_reference_exact,1.0,31.6858773,-97.3750445
MUELLER,Mueller Substation,ercot_reference_exact,1.0,30.2899893,-97.6895779
MUELLERX,Mueller Substation,ercot_reference_exact,1.0,30.2899893,-97.6895779
MUELLERY,Mueller Substation,ercot_reference_exact,1.0,30.2899893,-97.6895779
MUNDAY,Munday Substation,exact,0.99,33.4502702,-99.6207603
MUSQUI_138_1,Musquiz Substation,ercot_reference_exact,1.0,31.2383707,-103.1582934
MUSTANG_L_A,Mustang Ca Substation,alias,1.0,35.3763216,-97.7429192
NAAMAN_EB1,Naaman Substation,ercot_reference_exact,1.0,32.9368989,-96.6113491
NAAMAN_T1,Naaman Substation,ercot_reference_exact,1.0,32.9368989,-96.6113491
NAAMAN_T2,Naaman Substation,ercot_reference_exact,1.0,32.9368989,-96.6113491
NARUNA_L_A,Naruna Substation,ercot_reference_exact,1.0,31.0476489,-98.1908146
NAVO,Navo Substation,ercot_reference_exact,1.0,33.2210505,-96.9179473
NAVO1,Navo Substation,ercot_reference_exact,1.0,33.2210505,-96.9179473
NAVO3,Navo Substation,ercot_reference_exact,1.0,33.2210505,-96.9179473
NAVO4,Navo Substation,ercot_reference_exact,1.0,33.2210505,-96.9179473
NAVOEB,Navo Substation,ercot_reference_exact,1.0,33.2210505,-96.9179473
NEWARK,Newark Substation,ercot_reference_exact,1.0,33.0399204,-97.5229079
NEWMAN_2000,Newman Substation,ercot_reference_exact,1.0,31.9839419,-106.4348695
NEWMAN_WLNT,Newman Substation,ercot_reference_exact,1.0,31.9839419,-106.4348695
NF_BRP_RN,Andice Substation,ercot_reference_exact,1.0,30.7489665,-97.875798
NIMROD1,Nimrod Substation,ercot_reference_exact,1.0,32.2717751,-99.0106737
NIMROD2,Nimrod Substation,ercot_reference_exact,1.0,32.2717751,-99.0106737
NORFORK,Norfork Substation,exact,0.99,32.2431282,-98.2236262
NORTH,North Substation,exact,0.99,30.6912024,-96.3944518
NOVC_L_A,Novice Substation,ercot_reference_exact,1.0,31.9840284,-99.6692989
NT2,Henne Substation,ercot_reference_exact,1.0,29.7735088,-98.050972
NUCOR_8A,Nucor Substation,ercot_reference_exact,1.0,31.3524386,-96.1633532
NUCOR_ST1_5X,Nucor Substation,ercot_reference_exact,1.0,31.3524386,-96.1633532
NUCOR_ST1_5Y,Nucor Substation,ercot_reference_exact,1.0,31.3524386,-96.1633532
NUCOR_ST1_5Z,Nucor Substation,ercot_reference_exact,1.0,31.3524386,-96.1633532
NUECES_B_CC1,Nueces Bay Substation,alias,1.0,27.8209001,-97.4183686
NUECES_B_V_A,Nueces Bay Substation,alias,1.0,27.8209001,-97.4183686
NUECES_B_V_B,Nueces Bay Substation,alias,1.0,27.8209001,-97.4183686
NUECES_B_V_C,Nueces Bay Substation,alias,1.0,27.8209001,-97.4183686
NUECES_B_V_D,Nueces Bay Substation,alias,1.0,27.8209001,-97.4183686
