NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Clarendon Substation,,,TX,34.9257575,-100.865724,1,69.0,69.0,Golden Spread Electric Cooperative; Southwestern Electric Power Company,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clay West Substation,,,TX,28.2510458,-98.198772,1,69.0,69.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemons Substation,,,TX,28.9887616,-95.5734437,1,69.0,12.5,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemons Switching Station,,,TX,29.056894,-95.5854213,1,69.0,69.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemville North Substation,,,TX,29.0108674,-96.1331573,1,69.0,69.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemville South Substation,,,TX,28.9834084,-96.1430773,1,69.0,69.0,South Texas Electric Cooperative,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemville Substation,,,TX,28.9978044,-96.1505728,1,69.0,69.0,American Electric Power,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clemville Switching Station,,,TX,29.0279422,-96.1334613,1,69.0,69.0,South Texas Electric Cooperative,transmission,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Cliffside Substation,,,TX,35.3525431,-101.9908631,1,69.0,69.0,Xcel Energy,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Cliffton 2 Substation,,,TX,31.786783,-97.5908875,1,69.0,69.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clifton 1 Substation,,,TX,31.786148,-97.5719478,1,69.0,69.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Clyde Magnolia Station,,,TX,32.3579476,-99.5895385,1,69.0,69.0,American Electric Power,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Coleman Junction Substation,,,TX,31.7443076,-99.4268935,1,69.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Colorado River Municipal Water District #1 Substation,,,TX,31.4914234,-99.6982762,1,69.0,4.16,Colorado River Municipal Water District,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Colorado River Municipal Water District #3 Substation,,,TX,31.5497518,-100.5001533,1,69.0,4.16,Colorado River Municipal Water District,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Colorado River Municipal Water District #4 Substation,,,TX,31.6069904,-100.7627026,1,69.0,4.16,Colorado River Municipal Water District,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Colorado River Municipal Water District #5 Substation,,,TX,31.7027886,-101.1786754,1,69.0,4.16,Colorado River Municipal Water District,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Columbus Substation,,,TX,29.6983763,-96.5428302,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Cooper Substation,,,TX,33.4614094,-101.8537347,1,69.0,69.0,South Plains Electric Cooperative,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
