NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset
Faraday Substation,,,TX,32.6480728,-101.3957599,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Fayette Plant #1 Substation,,,TX,29.9182946,-96.7551671,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Fayette Plant #2 Substation,,,TX,29.9135662,-96.7561472,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Fowlerton Substation,,,TX,28.3714601,-98.800778,1,345.0,138.0,South Texas Electric Cooperative,distribution,IN SERVICE,OSM
Foxtail Switching Station,,,TX,33.6463144,-99.420794,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Garfield Substation,,,TX,30.1426409,-97.5453484,1,345.0,138.0,Austin Energy,transmission,IN SERVICE,OSM
Gasconades Creek Substation,,,TX,31.9393262,-100.8301843,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Gauss Substation,,,TX,33.4789378,-99.6615509,1,345.0,345.0,American Electric Power,compensation,IN SERVICE,OSM
Gibbons Creek Station,,,TX,30.6225353,-96.081524,1,345.0,138.0,Texas Municipal Power Agency,transmission,IN SERVICE,OSM
Gilleland Creek Substation,,,TX,30.4101324,-97.5742216,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Grandview Wind Farm 1 Substation,,,TX,35.2541222,-101.1857855,1,345.0,34.5,BlackRock; E.ON Climate and Renewables,transmission,IN SERVICE,OSM
Gray Substation,,,TX,35.407782,-100.8199306,1,345.0,345.0,LS Power,transmission,IN SERVICE,OSM
Green Pastures Wind Substation,,,TX,33.6445517,-99.4207873,1,345.0,34.5,Capital Dynamics,transmission,IN SERVICE,OSM
Grelton Substation,,,TX,32.1663965,-101.8814852,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Gulf Star,,,TX,29.1899163,-95.9669568,1,345.0,345.0,Enel Green Power,generation,IN SERVICE,OSM
Gulf Wind Substation,,,TX,27.0024803,-97.5842034,1,345.0,34.5,Pattern Energy,transmission,IN SERVICE,OSM
Hackberry Wind Substation,,,TX,32.7684258,-99.422825,1,345.0,34.5,RES,transmission,IN SERVICE,OSM
Hays Energy Station,,,TX,29.7830335,-97.9900918,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Hereford Wind Substation,,,TX,34.7730829,-102.2981288,1,345.0,345.0,EDF,transmission,IN SERVICE,OSM
Hill Country Substation,,,TX,29.6194511,-98.5718361,1,345.0,34.5,CPS Energy,transmission,IN SERVICE,OSM
Holman Substation,,,TX,29.795554,-96.8783831,1,345.0,345.0,Austin Energy,transmission,IN SERVICE,OSM
Hornsby Substation,,,TX,30.2319767,-97.6138648,1,345.0,24.9,Lower Colorado River Authority,industrial,IN SERVICE,OSM
Horse Hollow Kendall Tie,,,TX,32.190205,-100.0170167,1,345.0,138.0,NextEra Energy,transmission,IN SERVICE,OSM
Hugo Substation,,,TX,34.0191303,-95.3124576,1,345.0,138.0,ITC,transmission,IN SERVICE,OSM
Inadale Wind Farm Substation,,,TX,32.4977825,-100.5967304,1,345.0,345.0,E.ON,transmission,IN SERVICE,OSM
J. K. Spruce Switchyard,,,TX,29.3124345,-98.3202134,1,345.0,345.0,CPS Energy,transmission,IN SERVICE,OSM
Jack Creek Substation,,,TX,30.8588896,-96.2588727,1,345.0,138.0,Texas Municipal Power Agency,transmission,IN SERVICE,OSM
Jim Treece Substation,,,TX,34.234163,-99.4341637,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Kendall Substation,,,TX,29.984921,-98.8867022,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Kiowa 1 Sub,,,TX,32.5010783,-103.9680828,1,345.0,115.0,Xcel Energy,transmission,IN SERVICE,OSM
